|  pc  |dbgRegLo|dbgRegHi|RAM16K[0| time  |
| 0001 |      0 |      0 |      0 |1      |
| 0002 |      0 |      0 |      0 |2      |
| 0003 |      0 |      0 |      0 |3      |
| 0004 |      0 |      0 |      0 |4      |
| 0005 |      0 |      0 |      0 |5      |
| 0006 |      0 |      0 |      0 |6      |
| 0007 |      0 |      0 |      0 |7      |
| 0008 |      0 |      0 |      0 |8      |
| 0003 |      0 |      0 |      0 |9      |
| 0004 |      0 |      0 |      0 |10     |
| 0005 |      0 |      0 |      0 |11     |
| 0006 |      0 |      0 |      0 |12     |
| 0007 |      0 |      0 |      0 |13     |
| 0008 |      0 |      0 |      0 |14     |
| 0003 |      0 |      0 |      0 |15     |
| 0004 |      0 |      0 |      0 |16     |
| 0005 |      0 |      0 |      0 |17     |
| 0006 |      0 |      0 |      0 |18     |
| 0007 |      0 |      0 |      0 |19     |
| 0008 |      0 |      0 |      0 |20     |
| 0009 |      0 |      0 |      0 |21     |
| 0009 |      0 |      0 |      0 |22     |
| 0009 |      0 |      0 |      0 |23     |
| 0009 |      0 |      0 |      0 |24     |
| 0009 |      0 |      0 |      0 |25     |
| 0009 |      0 |      0 |      0 |26     |
| 0009 |      0 |      0 |      0 |27     |
| 0009 |      0 |      0 |      0 |28     |
| 0009 |      0 |      0 |      0 |29     |
| 0009 |      0 |      0 |      0 |30     |
| 0009 |      0 |      0 |      0 |31     |
| 0009 |      0 |      0 |      0 |32     |
| 0009 |      0 |      0 |      0 |33     |
| 0009 |      0 |      0 |      0 |34     |
| 0009 |      0 |      0 |      0 |35     |
| 0009 |      0 |      0 |      0 |36     |
| 0009 |      0 |      0 |      0 |37     |
| 0009 |      0 |      0 |      0 |38     |
| 0009 |      0 |      0 |      0 |39     |
| 0009 |      0 |      0 |      0 |40     |
| 0009 |      0 |      0 |      0 |41     |
| 0009 |      0 |      0 |      0 |42     |
| 0009 |      0 |      0 |      0 |43     |
| 0009 |      0 |      0 |      0 |44     |
| 0009 |      0 |      0 |      0 |45     |
| 0009 |      0 |      0 |      0 |46     |
| 0009 |      0 |      0 |      0 |47     |
| 0009 |      0 |      0 |      0 |48     |
| 0009 |      0 |      0 |      0 |49     |
| 0009 |      0 |      0 |      0 |50     |
| 0009 |      0 |      0 |      0 |50     |
| 0009 |      6 |      0 |      0 |50     |
| 0009 |      1 |      0 |      0 |50     |
